81,#81,,7 - 3,7,3,USA,,Luka Trejgut,Luka Trejgut,,,armin,LukatheKuka_,LukatheKuka_,https://twitter.com/LukatheKuka_,,,Safety Goggles,,,Booster Energy,,,Covert Cloak,,,Black Glasses,,,Focus Sash,,,Choice Band,40,-,View,https://pokepast.es/b5292171dd8c217a,,,,,,,Amoonguss,Iron Bundle,Arcanine,Flutter Mane,Dragonite,Kingambit,,Covert Cloak,Booster Energy,Safety Goggles,Focus Sash,Choice Band,Black Glasses,,Water,Water,Water,Fairy,Flying,Dark,Water,Water,Water,Fairy,Flying,Dark,2 Amoonguss,1 Iron Bundle,0 Arcanine,8 Flutter Mane,9 Dragonite,7 Kingambit,0 Arcanine,1 Iron Bundle,2 Amoonguss,7 Kingambit,8 Flutter Mane,9 Dragonite,Arcanine,Water,Safety Goggles,Iron Bundle,Water,Booster Energy,Amoonguss,Water,Covert Cloak,Kingambit,Dark,Black Glasses,Flutter Mane,Fairy,Focus Sash,Dragonite,Flying,Choice Band,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Kingambit,Flutter Mane,Dragonite,,"Amoonguss, Iron Bundle, Arcanine, Flutter Mane, Dragonite, Kingambit",,Sam Unietis,238,Andrew Navarro,151,Joshua Wong,66,Allan Martinez,11,Justin Frys,70,Andrew Johnson,43,Ana Hoffman,66,Kevin Miller,57,Ryan Haig,36,Jonathan Melendez,24
82,#82,,7 - 3,7,3,USA,,Joshua Lorcy,Joshua Lorcy,,,Lorcy,lorcylovesyou,lorcylovesyou,https://twitter.com/lorcylovesyou,,,Covert Cloak,,,Booster Energy,,,Sitrus Berry,,,Assault Vest,,,Safety Goggles,,,Choice Specs,40,-,View,https://pokepast.es/ac709fd2d550623d,,,,Stream Round 5 (L),,,Amoonguss,Talonflame,Iron Bundle,Flutter Mane,Great Tusk,Kingambit,,Sitrus Berry,Covert Cloak,Booster Energy,Choice Specs,Assault Vest,Safety Goggles,,Water,Ghost,Ice,Fairy,Steel,Fire,Water,Ghost,Ice,Fairy,Steel,Fire,2 Amoonguss,0 Talonflame,1 Iron Bundle,8 Flutter Mane,4 Great Tusk,7 Kingambit,0 Talonflame,1 Iron Bundle,2 Amoonguss,4 Great Tusk,7 Kingambit,8 Flutter Mane,Talonflame,Ghost,Covert Cloak,Iron Bundle,Ice,Booster Energy,Amoonguss,Water,Sitrus Berry,Great Tusk,Steel,Assault Vest,Kingambit,Fire,Safety Goggles,Flutter Mane,Fairy,Choice Specs,,,,,,,,,Talonflame,Iron Bundle,Amoonguss,Great Tusk,Kingambit,Flutter Mane,,"Amoonguss, Talonflame, Iron Bundle, Flutter Mane, Great Tusk, Kingambit",,Albert Larsen,249,Michael Kingsley,86,Michael Zhang,61,Benjamin March,13,Paul Chua,13,Shiliang Tang,58,Austin McKay,47,Andrew Jenkins,26,Michael Holloway,112,Kyle Wilkinson,75
83,#83,,7 - 3,7,3,USA,,Enmanuel Zapata,Enmanuel Zapata,,,Manny,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Life Orb,,,Covert Cloak,,,Leftovers,,,Choice Scarf,,,Booster Energy,,,Psychic Seed,40,-,View,https://pokepast.es/84784dce1a2dbb72,,,,,,,Talonflame,Indeedee-F,Dondozo,Armarouge,Tatsugiri,Brute Bonnet,,Covert Cloak,Psychic Seed,Leftovers,Life Orb,Choice Scarf,Booster Energy,,Grass,Fairy,Dragon,Grass,Dragon,Ghost,Grass,Fairy,Dragon,Grass,Dragon,Ghost,0 Talonflame,5 Indeedee-F,1 Dondozo,0 Armarouge,1 Tatsugiri,2 Brute Bonnet,0 Armarouge,0 Talonflame,1 Dondozo,1 Tatsugiri,2 Brute Bonnet,5 Indeedee-F,Armarouge,Grass,Life Orb,Talonflame,Grass,Covert Cloak,Dondozo,Dragon,Leftovers,Tatsugiri,Dragon,Choice Scarf,Brute Bonnet,Ghost,Booster Energy,Indeedee-F,Fairy,Psychic Seed,,,,,,,,,Armarouge,Talonflame,Dondozo,Tatsugiri,Brute Bonnet,Indeedee-F,,"Talonflame, Indeedee-F (Indeedee-Female), Dondozo, Armarouge, Tatsugiri, Brute Bonnet",,Timothy Santo Jr,275,Ryan McCauley,121,Lorenzo Arce,85,Jonathan Zuniga,95,Joel Nino,33,Riley Factura,49,Anders Nordstrom,120,Landon Morjal,40,David Mancuso,35,Luca Paz,12
84,#84,,7 - 3,7,3,USA,,Dylan Salvanera,Dylan Salvanera,,,Dylan,scarlet_skill,scarlet_skill,https://twitter.com/scarlet_skill,,,Mirror Herb,,,Focus Sash,,,Sitrus Berry,,,Assault Vest,,,Booster Energy,,,Loaded Dice,40,-,View,https://pokepast.es/7dfab2187a38ca84,,,,,,,Sandy Shocks,Iron Jugulis,Amoonguss,Iron Bundle,Tauros-Paldea-Blaze,Baxcalibur,,Assault Vest,Booster Energy,Sitrus Berry,Focus Sash,Mirror Herb,Loaded Dice,,Fairy,Poison,Water,Water,Grass,Ground,Fairy,Poison,Water,Water,Grass,Ground,3 Sandy Shocks,4 Iron Jugulis,2 Amoonguss,1 Iron Bundle,0 Tauros-Paldea-Blaze,9 Baxcalibur,0 Tauros-Paldea-Blaze,1 Iron Bundle,2 Amoonguss,3 Sandy Shocks,4 Iron Jugulis,9 Baxcalibur,Tauros-Paldea-Blaze,Grass,Mirror Herb,Iron Bundle,Water,Focus Sash,Amoonguss,Water,Sitrus Berry,Sandy Shocks,Fairy,Assault Vest,Iron Jugulis,Poison,Booster Energy,Baxcalibur,Ground,Loaded Dice,,,,,,,,,Tauros-Paldea-Blaze,Iron Bundle,Amoonguss,Sandy Shocks,Iron Jugulis,Baxcalibur,,"Sandy Shocks, Iron Jugulis, Amoonguss, Iron Bundle, Tauros-Paldea-Blaze, Baxcalibur",,Bailey Sullivan,192,Kyle Livinghouse,136,Alex Heaney,210,Andrew Engelman,67,Mason Miesburger,55,Justin Carris,44,Grayson DeWolfe,53,Kevin Sidonio,36,Jayson Kelley,61,Anthony Kissoon,92
85,#85,,7 - 3,7,3,USA,,Joseph Ugarte,Joseph Ugarte,,,JoeUX9,JoeUX9,JoeUX9,https://twitter.com/JoeUX9,,,Sitrus Berry,,,Booster Energy,,,Focus Sash,,,Leftovers,,,Assault Vest,,,Life Orb,40,-,View,https://pokepast.es/ed5d10e62dda6afa,,,,,,,Garganacl,Iron Hands,Mimikyu,Arcanine,Iron Bundle,Meowscarada,,Leftovers,Assault Vest,Life Orb,Sitrus Berry,Booster Energy,Focus Sash,,Poison,Grass,Ghost,Water,Water,Ghost,Poison,Grass,Ghost,Water,Water,Ghost,4 Garganacl,4 Iron Hands,8 Mimikyu,0 Arcanine,1 Iron Bundle,2 Meowscarada,0 Arcanine,1 Iron Bundle,2 Meowscarada,4 Garganacl,4 Iron Hands,8 Mimikyu,Arcanine,Water,Sitrus Berry,Iron Bundle,Water,Booster Energy,Meowscarada,Ghost,Focus Sash,Garganacl,Poison,Leftovers,Iron Hands,Grass,Assault Vest,Mimikyu,Ghost,Life Orb,,,,,,,,,Arcanine,Iron Bundle,Meowscarada,Garganacl,Iron Hands,Mimikyu,,"Garganacl, Iron Hands, Mimikyu, Arcanine, Iron Bundle, Meowscarada",,Rowan Hall,163,Kevin Miller,161,Marcus Dion,18,Brian Collins,19,Anders Nordstrom,76,Samuel Temple,114,Ryan Paice,136,Matthew Suarez,171,Jacob Bolen,94,Alexavier Alvarez,63
86,#86,,7 - 3,7,3,USA,,Robert Bosch,Robert Bosch,,,Rob,Spedunky,Spedunky,https://twitter.com/Spedunky,,,Focus Sash,,,Leftovers,,,Assault Vest,,,Sitrus Berry,,,Life Orb,,,Choice Band,40,-,View,https://pokepast.es/feb66fd1c5fdbc87,,,,,Ax: American. Twitter is Spedunky,,Gothitelle,Iron Bundle,Garganacl,Dragonite,Flutter Mane,Iron Hands,,Sitrus Berry,Focus Sash,Leftovers,Choice Band,Life Orb,Assault Vest,,Normal,Ice,Ghost,Flying,Fairy,Grass,Normal,Ice,Ghost,Flying,Fairy,Grass,6 Gothitelle,1 Iron Bundle,4 Garganacl,9 Dragonite,8 Flutter Mane,4 Iron Hands,1 Iron Bundle,4 Garganacl,4 Iron Hands,6 Gothitelle,8 Flutter Mane,9 Dragonite,Iron Bundle,Ice,Focus Sash,Garganacl,Ghost,Leftovers,Iron Hands,Grass,Assault Vest,Gothitelle,Normal,Sitrus Berry,Flutter Mane,Fairy,Life Orb,Dragonite,Flying,Choice Band,,,,,,,,,Iron Bundle,Garganacl,Iron Hands,Gothitelle,Flutter Mane,Dragonite,,"Gothitelle, Iron Bundle, Garganacl, Dragonite, Flutter Mane, Iron Hands",,David Senokossoff,280,kieran roopchan,123,Ryne Conley,72,Ryan Haig,43,Chalkey Horenstein,45,juan guzman,23,Jourdan Bul-lalayao,118,ANDREW MICHALOWSKI,75,Dominique Johnson,29,David Early,47
87,#87,,7 - 3,7,3,USA,,Matthew Bopp,Matthew Bopp,,,Bopp,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Life Orb,,,Choice Scarf,,,Assault Vest,,,Colbur Berry,,,Lum Berry,,,Covert Cloak,40,-,View,https://pokepast.es/6b1a982c9d180bcf,,,,,,,Armarouge,Iron Hands,Hatterene,Kingambit,Annihilape,Indeedee-F,,Life Orb,Assault Vest,Covert Cloak,Lum Berry,Choice Scarf,Colbur Berry,,Grass,Grass,Fire,Flying,Grass,Fairy,Grass,Grass,Fire,Flying,Grass,Fairy,0 Armarouge,4 Iron Hands,8 Hatterene,7 Kingambit,4 Annihilape,5 Indeedee-F,0 Armarouge,4 Annihilape,4 Iron Hands,5 Indeedee-F,7 Kingambit,8 Hatterene,Armarouge,Grass,Life Orb,Annihilape,Grass,Choice Scarf,Iron Hands,Grass,Assault Vest,Indeedee-F,Fairy,Colbur Berry,Kingambit,Flying,Lum Berry,Hatterene,Fire,Covert Cloak,,,,,,,,,Armarouge,Annihilape,Iron Hands,Indeedee-F,Kingambit,Hatterene,,"Armarouge, Iron Hands, Hatterene, Kingambit, Annihilape, Indeedee-F (Indeedee-Female)",,Nicholas Clark,297,Jake Magier,152,Devin Hofknecht,62,Yotam Cohen,38,ANDREW MICHALOWSKI,86,Anthony Kissoon,96,Kent Karslioglu,170,Adam Skene,148,Kolten Pope,120,James Flanagan,69
88,#88,,7 - 3,7,3,USA,,Matthew Pencille,Matthew Pencille,,,Myosotis,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Sitrus Berry,,,Focus Sash,,,Choice Specs,,,Covert Cloak,,,Choice Band,,,Booster Energy,40,-,View,https://pokepast.es/8e03d241b8e1d358,,,,,,,Iron Bundle,Roaring Moon,Dragonite,Arcanine,Tinkaton,Flutter Mane,,Focus Sash,Booster Energy,Choice Band,Sitrus Berry,Covert Cloak,Choice Specs,,Ice,Flying,Normal,Grass,Flying,Fairy,Ice,Flying,Normal,Grass,Flying,Fairy,1 Iron Bundle,9 Roaring Moon,9 Dragonite,0 Arcanine,8 Tinkaton,8 Flutter Mane,0 Arcanine,1 Iron Bundle,8 Flutter Mane,8 Tinkaton,9 Dragonite,9 Roaring Moon,Arcanine,Grass,Sitrus Berry,Iron Bundle,Ice,Focus Sash,Flutter Mane,Fairy,Choice Specs,Tinkaton,Flying,Covert Cloak,Dragonite,Normal,Choice Band,Roaring Moon,Flying,Booster Energy,,,,,,,,,Arcanine,Iron Bundle,Flutter Mane,Tinkaton,Dragonite,Roaring Moon,,"Iron Bundle, Roaring Moon, Dragonite, Arcanine, Tinkaton, Flutter Mane",,Jake Chauncey,374,Robert Rimmer,291,Vijay Sood,260,Mathew Courtney,130,Jack Aquino,68,Alexavier Alvarez,26,ALEX UNDERHILL,20,Jack Kufa,38,Andrew Jenkins,33,Mohammed Faizan,29
89,#89,,7 - 3,7,3,DOM,,Jonathan Zuniga,Jonathan Zuniga,,,Jawnzu,JAWNZU,JAWNZU,https://twitter.com/JAWNZU,,,Booster Energy,,,Leftovers,,,Choice Scarf,,,Assault Vest,,,Life Orb,,,Focus Sash,40,-,View,https://pokepast.es/338d580edc36857a,,,,,,,Tatsugiri,Iron Moth,Kingambit,Flutter Mane,Iron Hands,Dondozo,,Choice Scarf,Booster Energy,Life Orb,Focus Sash,Assault Vest,Leftovers,,Water,Grass,Ghost,Fairy,Grass,Dragon,Water,Grass,Ghost,Fairy,Grass,Dragon,1 Tatsugiri,0 Iron Moth,7 Kingambit,8 Flutter Mane,4 Iron Hands,1 Dondozo,0 Iron Moth,1 Dondozo,1 Tatsugiri,4 Iron Hands,7 Kingambit,8 Flutter Mane,Iron Moth,Grass,Booster Energy,Dondozo,Dragon,Leftovers,Tatsugiri,Water,Choice Scarf,Iron Hands,Grass,Assault Vest,Kingambit,Ghost,Life Orb,Flutter Mane,Fairy,Focus Sash,,,,,,,,,Iron Moth,Dondozo,Tatsugiri,Iron Hands,Kingambit,Flutter Mane,,"Tatsugiri, Iron Moth, Kingambit, Flutter Mane, Iron Hands, Dondozo",,Zee Costagliola,347,Don Czech,75,Edward Glover,238,Enmanuel Zapata,95,Yiwen Song,231,Jack Aquino,189,Dominique Johnson,103,Alex Eley,135,Everett Filloon,84,Meg Walls,68
90,#90,,7 - 3,7,3,USA,,Philip Wesley,Philip Wesley,,,Phil,RegisteelSucks,RegisteelSucks,https://twitter.com/RegisteelSucks,,,Assault Vest,,,Covert Cloak,,,Sitrus Berry,,,Safety Goggles,,,Light Clay,,,Throat Spray,40,-,View,https://pokepast.es/c63321fed92f9b0a,,,,,,,Gastrodon,Grimmsnarl,Corviknight,Sylveon,Arcanine,Iron Hands,,Covert Cloak,Light Clay,Safety Goggles,Throat Spray,Assault Vest,Sitrus Berry,,Fire,Ghost,Dragon,Fire,Grass,Grass,Fire,Ghost,Dragon,Fire,Grass,Grass,1 Gastrodon,8 Grimmsnarl,7 Corviknight,8 Sylveon,0 Arcanine,4 Iron Hands,0 Arcanine,1 Gastrodon,4 Iron Hands,7 Corviknight,8 Grimmsnarl,8 Sylveon,Arcanine,Grass,Assault Vest,Gastrodon,Fire,Covert Cloak,Iron Hands,Grass,Sitrus Berry,Corviknight,Dragon,Safety Goggles,Grimmsnarl,Ghost,Light Clay,Sylveon,Fire,Throat Spray,,,,,,,,,Arcanine,Gastrodon,Iron Hands,Corviknight,Grimmsnarl,Sylveon,,"Gastrodon, Grimmsnarl, Corviknight, Sylveon, Arcanine, Iron Hands",,Nicholas Hughes,41,Ingrid Karmazinas,93,Chalkey Horenstein,28,Edwin Serrano,147,Zachary Liekweg,59,Jake Rosen,65,Dan Fitzpatrick,27,Justin Burns,10,Rowan Hall,20,Nick Navarre,25
91,#91,,7 - 3,7,3,USA,,Nate Engstrom,Nate Engstrom,,,Nate,EngstromVGC,EngstromVGC,https://twitter.com/EngstromVGC,,,Booster Energy,,,Lum Berry,,,Focus Sash,,,Choice Scarf,,,Assault Vest,,,Choice Specs,40,-,View,https://pokepast.es/1aafa224de54da0b,,,,,Twitter is EngstromVGC,,Tatsugiri,Flutter Mane,Annihilape,Iron Moth,Dondozo,Kingambit,,Focus Sash,Choice Specs,Choice Scarf,Booster Energy,Lum Berry,Assault Vest,,Water,Fairy,Grass,Grass,Steel,Fire,Water,Fairy,Grass,Grass,Steel,Fire,1 Tatsugiri,8 Flutter Mane,4 Annihilape,0 Iron Moth,1 Dondozo,7 Kingambit,0 Iron Moth,1 Dondozo,1 Tatsugiri,4 Annihilape,7 Kingambit,8 Flutter Mane,Iron Moth,Grass,Booster Energy,Dondozo,Steel,Lum Berry,Tatsugiri,Water,Focus Sash,Annihilape,Grass,Choice Scarf,Kingambit,Fire,Assault Vest,Flutter Mane,Fairy,Choice Specs,,,,,,,,,Iron Moth,Dondozo,Tatsugiri,Annihilape,Kingambit,Flutter Mane,,"Tatsugiri, Flutter Mane, Annihilape, Iron Moth, Dondozo, Kingambit",,Alex Eley,349,Kaleb Southerland,290,Eduardo Abrego,196,Meghan Hyman,81,Alfonse Gaite,63,Michael D'Angelo,67,Ben Grissmer,10,James Baek,29,Thomas Hayden,102,Brian Fournier,76
92,#92,,7 - 3,7,3,USA,,Kyle Foley,Kyle Foley,,,Currypuff,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Clear Amulet,,,Covert Cloak,,,Sitrus Berry,,,Assault Vest,,,Throat Spray,,,Booster Energy,40,-,View,https://pokepast.es/d7179577c990eb12,,,,,,,Great Tusk,Amoonguss,Ceruledge,Talonflame,Sylveon,Roaring Moon,,Assault Vest,Sitrus Berry,Clear Amulet,Covert Cloak,Throat Spray,Booster Energy,,Ground,Water,Grass,Ghost,Water,Flying,Ground,Water,Grass,Ghost,Water,Flying,4 Great Tusk,2 Amoonguss,0 Ceruledge,0 Talonflame,8 Sylveon,9 Roaring Moon,0 Ceruledge,0 Talonflame,2 Amoonguss,4 Great Tusk,8 Sylveon,9 Roaring Moon,Ceruledge,Grass,Clear Amulet,Talonflame,Ghost,Covert Cloak,Amoonguss,Water,Sitrus Berry,Great Tusk,Ground,Assault Vest,Sylveon,Water,Throat Spray,Roaring Moon,Flying,Booster Energy,,,,,,,,,Ceruledge,Talonflame,Amoonguss,Great Tusk,Sylveon,Roaring Moon,,"Great Tusk, Amoonguss, Ceruledge, Talonflame, Sylveon, Roaring Moon",,Sam Hopkins,305,Yotam Cohen,118,Gabriel Castaneda,119,Jesse Romolo,170,Edward Plascencia,174,George Bissell,83,David Kubiak,86,Tyler Allen,144,Tristan Fearing,108,Daniel A Fontes,46
93,#93,,7 - 3,7,3,USA,,Collin Heier,Collin Heier,,,Crown,BattleRoom,BattleRoom,https://twitter.com/BattleRoom,,,Assault Vest,,,Focus Sash,,,Mental Herb,,,Safety Goggles,,,Covert Cloak,,,Light Clay,40,-,View,https://pokepast.es/e9f5da0ce4f0b770,,,,,,,Iron Hands,Gholdengo,Amoonguss,Iron Bundle,Arcanine,Grimmsnarl,,Safety Goggles,Covert Cloak,Mental Herb,Focus Sash,Assault Vest,Light Clay,,Fire,Water,Dark,Water,Normal,Ghost,Fire,Water,Dark,Water,Normal,Ghost,4 Iron Hands,7 Gholdengo,2 Amoonguss,1 Iron Bundle,0 Arcanine,8 Grimmsnarl,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Iron Hands,7 Gholdengo,8 Grimmsnarl,Arcanine,Normal,Assault Vest,Iron Bundle,Water,Focus Sash,Amoonguss,Dark,Mental Herb,Iron Hands,Fire,Safety Goggles,Gholdengo,Water,Covert Cloak,Grimmsnarl,Ghost,Light Clay,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Iron Hands,Gholdengo,Grimmsnarl,,"Iron Hands, Gholdengo, Amoonguss, Iron Bundle, Arcanine, Grimmsnarl",,Andrew Engelman,295,Sam O'Dell,71,Eric Bartlett,51,Chalkey Horenstein,26,Nathan Ortiz,17,Ian McLaughlin,18,Kolten Pope,55,James Horne,89,Alfonse Gaite,100,Devin Winter,91
94,#94,,7 - 3,7,3,USA,,Denis Espinoza,Denis Espinoza,,,ThatManDenis,No Twitter,No Twitter,https://twitter.com/No Twitter,,,Covert Cloak,,,Booster Energy,,,Focus Sash,,,Choice Scarf,,,Weakness Policy,,,Safety Goggles,40,-,View,https://pokepast.es/fa85c2d9095085e3,,,,,,,Indeedee-F,Iron Bundle,Lycanroc,Staraptor,Armarouge,Tyranitar,,Safety Goggles,Booster Energy,Focus Sash,Choice Scarf,Covert Cloak,Weakness Policy,,Psychic,Ghost,Ghost,Flying,Grass,Rock,Psychic,Ghost,Ghost,Flying,Grass,Rock,5 Indeedee-F,1 Iron Bundle,4 Lycanroc,4 Staraptor,0 Armarouge,4 Tyranitar,0 Armarouge,1 Iron Bundle,4 Lycanroc,4 Staraptor,4 Tyranitar,5 Indeedee-F,Armarouge,Grass,Covert Cloak,Iron Bundle,Ghost,Booster Energy,Lycanroc,Ghost,Focus Sash,Staraptor,Flying,Choice Scarf,Tyranitar,Rock,Weakness Policy,Indeedee-F,Psychic,Safety Goggles,,,,,,,,,Armarouge,Iron Bundle,Lycanroc,Staraptor,Tyranitar,Indeedee-F,,"Indeedee-F (Indeedee-Female), Iron Bundle, Lycanroc, Staraptor, Armarouge, Tyranitar",,Joshua Hodges,24,CONNOR NEGLIO,45,Adrien Hurley,44,Ashton Cox,128,Mario Jimenez,227,Blake Falls,178,Evan Zimmer,80,Ruddy Salmon,27,Nathan Ortiz,17,John Mills,21
95,#95,,7 - 3,7,3,USA,,Jake Magier,Jake Magier,,,Jake★Spade,jackofspadesman,jackofspadesman,https://twitter.com/jackofspadesman,,,Safety Goggles,,,Charcoal,,,Loaded Dice,,,Sitrus Berry,,,Psychic Seed,,,Covert Cloak,40,-,View,https://pokepast.es/f4efbe12d43c3182,,,https://twitter.com/jackofspadesman/status/1622075282000674819,,from his tweet,,Torkoal,Indeedee-F,Hatterene,Iron Hands,Brute Bonnet,Armarouge,,Charcoal,Psychic Seed,Covert Cloak,Sitrus Berry,Loaded Dice,Safety Goggles,,Grass,Grass,Water,Grass,Water,Dark,Grass,Grass,Water,Grass,Water,Dark,0 Torkoal,5 Indeedee-F,8 Hatterene,4 Iron Hands,2 Brute Bonnet,0 Armarouge,0 Armarouge,0 Torkoal,2 Brute Bonnet,4 Iron Hands,5 Indeedee-F,8 Hatterene,Armarouge,Dark,Safety Goggles,Torkoal,Grass,Charcoal,Brute Bonnet,Water,Loaded Dice,Iron Hands,Grass,Sitrus Berry,Indeedee-F,Grass,Psychic Seed,Hatterene,Water,Covert Cloak,,,,,,,,,Armarouge,Torkoal,Brute Bonnet,Iron Hands,Indeedee-F,Hatterene,,"Torkoal, Indeedee-F (Indeedee-Female), Hatterene, Iron Hands, Brute Bonnet, Armarouge",,Jonathan Martin,60,Matthew Bopp,152,Dylan Brown,278,Torrey Slocum,105,Ryan Haig,25,Jack Fuld,57,Jered Hunn,23,Riley Factura,24,Brendan Zheng,15,Yichun Wu,34
96,#96,,7 - 3,7,3,USA,,Dominique Johnson,Dominique Johnson,,,428,_deoem_,_deoem_,https://twitter.com/_deoem_,,,Safety Goggles,,,Expert Belt,,,Covert Cloak,,,Sitrus Berry,,,Kasib Berry,,,Booster Energy,40,-,View,https://pokepast.es/865b2671f127f953,,,,,,,Amoonguss,Gothitelle,Arcanine,Iron Hands,Roaring Moon,Iron Bundle,,Covert Cloak,Kasib Berry,Safety Goggles,Sitrus Berry,Booster Energy,Expert Belt,,Water,Steel,Water,Fire,Flying,Ice,Water,Steel,Water,Fire,Flying,Ice,2 Amoonguss,6 Gothitelle,0 Arcanine,4 Iron Hands,9 Roaring Moon,1 Iron Bundle,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Iron Hands,6 Gothitelle,9 Roaring Moon,Arcanine,Water,Safety Goggles,Iron Bundle,Ice,Expert Belt,Amoonguss,Water,Covert Cloak,Iron Hands,Fire,Sitrus Berry,Gothitelle,Steel,Kasib Berry,Roaring Moon,Flying,Booster Energy,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Iron Hands,Gothitelle,Roaring Moon,,"Amoonguss, Gothitelle, Arcanine, Iron Hands, Roaring Moon, Iron Bundle",,Paul Bianchini,236,Justin Stipe,20,Gerald Hoard,218,Jim Wallace,267,Brandon Deal,148,Kurt Imhoff,186,Jonathan Zuniga,103,Janice Lee,63,Robert Bosch,29,Chuppa Cross,26
97,#97,,7 - 3,7,3,USA,,Thomas Cholakov,Thomas Cholakov,,,Thomas,SilensumPKMN,SilensumPKMN,https://twitter.com/SilensumPKMN,,,Sitrus Berry,,,Focus Sash,,,Covert Cloak,,,Leftovers,,,Assault Vest,,,Booster Energy,40,-,View,https://pokepast.es/72b800a5991bfecb,,,,,,,Iron Hands,Amoonguss,Roaring Moon,Iron Bundle,Arcanine,Garganacl,,Assault Vest,Covert Cloak,Booster Energy,Focus Sash,Sitrus Berry,Leftovers,,Fire,Water,Flying,Water,Grass,Ghost,Fire,Water,Flying,Water,Grass,Ghost,4 Iron Hands,2 Amoonguss,9 Roaring Moon,1 Iron Bundle,0 Arcanine,4 Garganacl,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Garganacl,4 Iron Hands,9 Roaring Moon,Arcanine,Grass,Sitrus Berry,Iron Bundle,Water,Focus Sash,Amoonguss,Water,Covert Cloak,Garganacl,Ghost,Leftovers,Iron Hands,Fire,Assault Vest,Roaring Moon,Flying,Booster Energy,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Garganacl,Iron Hands,Roaring Moon,,"Iron Hands, Amoonguss, Roaring Moon, Iron Bundle, Arcanine, Garganacl",,Joseph Nunziata,313,Anders Nordstrom,79,Luca Paz,43,Miles Davis,59,Marquis Blue,93,Cory Wilkinson,47,Montana Mott,88,Tyler Alexander,104,Jens Soto,109,Brent Caughey,80
98,#98,,7 - 3,7,3,USA,,Cory Wilkinson,Cory Wilkinson,,,Cory,StandardVR,StandardVR,https://twitter.com/StandardVR,,,Sharp Beak,,,Assault Vest,,,Life Orb,,,Focus Sash,,,Choice Scarf,,,Scope Lens,40,-,View,https://pokepast.es/c823bba714f63868,,,,,,,Hydreigon,Iron Hands,Scizor,Flutter Mane,Garchomp,Talonflame,,Scope Lens,Assault Vest,Life Orb,Focus Sash,Choice Scarf,Sharp Beak,,Fire,Electric,Flying,Flying,Ground,Flying,Fire,Electric,Flying,Flying,Ground,Flying,9 Hydreigon,4 Iron Hands,7 Scizor,8 Flutter Mane,9 Garchomp,0 Talonflame,0 Talonflame,4 Iron Hands,7 Scizor,8 Flutter Mane,9 Garchomp,9 Hydreigon,Talonflame,Flying,Sharp Beak,Iron Hands,Electric,Assault Vest,Scizor,Flying,Life Orb,Flutter Mane,Flying,Focus Sash,Garchomp,Ground,Choice Scarf,Hydreigon,Fire,Scope Lens,,,,,,,,,Talonflame,Iron Hands,Scizor,Flutter Mane,Garchomp,Hydreigon,,"Hydreigon, Iron Hands, Scizor, Flutter Mane, Garchomp, Talonflame",,Luke Finamore,351,Austin McKay,49,Marquis Blue,93,thomas Wolfe,140,Stephen Mea,29,Thomas Cholakov,47,Luca Paz,30,Victor Delgado,41,Justin Carris,48,Ian Blount,84
99,#99,,7 - 3,7,3,USA,,Benji Carney,Benji Carney,,,Chisato,CarneyAsadaa,CarneyAsadaa,https://twitter.com/CarneyAsadaa,,,Chesto Berry,,,Focus Sash,,,Leftovers,,,Safety Goggles,,,Sitrus Berry,,,Light Clay,40,-,View,https://pokepast.es/ed0da9c37d262fa1,,,,,,,Grimmsnarl,Gholdengo,Tatsugiri,Maushold,Dondozo,Annihilape,,Light Clay,Sitrus Berry,Focus Sash,Safety Goggles,Chesto Berry,Leftovers,,Grass,Flying,Steel,Ghost,Steel,Fire,Grass,Flying,Steel,Ghost,Steel,Fire,8 Grimmsnarl,7 Gholdengo,1 Tatsugiri,5 Maushold,1 Dondozo,4 Annihilape,1 Dondozo,1 Tatsugiri,4 Annihilape,5 Maushold,7 Gholdengo,8 Grimmsnarl,Dondozo,Steel,Chesto Berry,Tatsugiri,Steel,Focus Sash,Annihilape,Fire,Leftovers,Maushold,Ghost,Safety Goggles,Gholdengo,Flying,Sitrus Berry,Grimmsnarl,Grass,Light Clay,,,,,,,,,Dondozo,Tatsugiri,Annihilape,Maushold,Gholdengo,Grimmsnarl,,"Grimmsnarl, Gholdengo, Tatsugiri, Maushold, Dondozo, Annihilape",,Todd Schulte,36,David Walker,137,James Baek,40,Alex Cronin,90,Brian Horvath,188,Melvin Concepcion,179,Mia Gray,106,Colin Legge,74,Jeremy Gross,54,Wolfe Glick,27
